date, price
2002/6/10,20.259899
2002/6/11,18.8839
2002/6/12,17.9825
2002/6/13,18.3146
2002/6/14,18.4095
2002/6/17,19.405899
2002/6/18,19.2635
2002/6/19,18.9788
2002/6/20,18.4095
2002/6/21,18.9314
2002/6/24,18.5993
2002/6/25,18.694201
2002/6/26,18.694201
2002/6/27,18.9788
2002/6/28,19.121201
2002/7/1,18.2197
2002/7/2,18.8839
2002/7/3,18.5044
2002/7/4,18.5044
2002/7/5,18.9788
2002/7/8,18.789
2002/7/9,19.216101
2002/7/10,19.405899
2002/7/11,18.694201
2002/7/12,19.1686
2002/7/15,19.121201
2002/7/16,18.4095
2002/7/17,18.1248
2002/7/18,16.891199
2002/7/19,16.2269
2002/7/22,16.4167
2002/7/23,15.278
2002/7/24,15.0882
2002/7/25,15.3729
2002/7/26,16.3218
2002/7/29,16.8437
2002/7/30,16.8437
2002/7/31,17.745199
2002/8/1,17.413099
2002/8/2,17.2707
2002/8/5,17.8876
2002/8/6,17.840099
2002/8/7,17.555401
2002/8/8,17.365601
2002/8/9,17.413099
2002/8/12,17.2707
2002/8/13,16.606501
2002/8/14,17.080999
2002/8/15,16.606501
2002/8/16,16.7488
2002/8/19,15.6101
2002/8/20,15.8948
2002/8/21,16.6539
2002/8/22,16.3692
2002/8/23,15.9422
2002/8/26,15.7524
2002/8/27,14.6611
2002/8/28,13.8071
2002/8/29,14.329
2002/8/30,14.1867
2002/9/2,15.1356
2002/9/3,17.2115
2002/9/4,17.5569
2002/9/5,18.132601
2002/9/9,18.880899
2002/9/10,19.456499
2002/9/11,19.6868
2002/9/12,19.7444
2002/9/13,19.7444
2002/9/16,20.147301
2002/9/17,20.147301
2002/9/18,20.2624
2002/9/19,20.3776
2002/9/20,20.2624
2002/9/23,20.147301
2002/9/24,19.917
2002/9/25,18.996
2002/9/26,18.7082
2002/9/27,18.5355
2002/9/30,17.6145
2002/10/1,17.6145
2002/10/2,18.3053
2002/10/3,19.0536
2002/10/4,18.880899
2002/10/7,18.996
2002/10/8,18.362801
2002/10/9,17.9023
2002/10/11,18.996
2002/10/14,18.132601
2002/10/15,18.2477
2002/10/16,17.787201
2002/10/17,17.2691
2002/10/18,17.3267
2002/10/21,16.750999
2002/10/22,16.866199
2002/10/23,16.693399
2002/10/24,16.405701
2002/10/25,16.348101
2002/10/28,16.1754
2002/10/29,15.5422
2002/10/30,15.3119
2002/10/31,14.3909
2002/11/1,15.0241
2002/11/4,14.7363
2002/11/5,14.7363
2002/11/6,14.7939
2002/11/7,15.7724
2002/11/8,16.866199
2002/11/11,17.384199
2002/11/12,17.6145
2002/11/13,17.9599
2002/11/14,18.4779
2002/11/15,17.6145
2002/11/18,18.823299
2002/11/19,18.7658
2002/11/20,18.4779
2002/11/21,18.362801
2002/11/22,18.4779
2002/11/25,18.7082
2002/11/26,18.996
2002/11/27,18.3053
2002/11/28,19.2838
2002/11/29,18.7658
2002/12/2,19.801901
2002/12/3,19.5716
2002/12/4,19.2838
2002/12/5,18.420401
2002/12/6,18.7658
2002/12/9,18.5931
2002/12/10,18.5355
2002/12/11,18.7658
2002/12/12,19.0536
2002/12/13,18.6506
2002/12/16,18.3053
2002/12/17,18.017401
2002/12/18,18.1901
2002/12/19,18.1901
2002/12/20,17.729601
2002/12/23,17.3267
2002/12/24,17.3267
2002/12/25,17.9599
2002/12/26,17.9599
2002/12/27,20.089701
2002/12/30,20.147301
2002/12/31,20.2624
2003/1/2,20.2048
2003/1/3,21.5863
2003/1/6,21.0107
2003/1/7,21.0107
2003/1/8,19.6292
2003/1/9,20.147301
2003/1/10,20.3776
2003/1/13,20.2048
2003/1/14,18.996
2003/1/15,19.0536
2003/1/16,19.399
2003/1/17,18.7082
2003/1/20,18.5355
2003/1/21,18.5355
2003/1/22,19.168699
2003/1/23,18.7082
2003/1/24,18.2477
2003/1/27,18.2477
2003/1/28,18.2477
2003/2/6,18.362801
2003/2/7,18.823299
2003/2/10,18.823299
2003/2/11,20.089701
2003/2/12,20.435101
2003/2/13,20.7229
2003/2/14,20.435101
2003/2/17,21.4137
2003/2/18,21.183399
2003/2/19,20.6654
2003/2/20,19.859501
2003/2/21,19.9746
2003/2/24,19.859501
2003/2/25,20.147301
2003/2/26,19.917
2003/2/27,20.6078
2003/3/3,20.2624
2003/3/4,20.0322
2003/3/5,20.0322
2003/3/6,20.0322
2003/3/7,20.0322
2003/3/10,20.0322
2003/3/11,20.0322
2003/3/12,20.0322
